,Nuts0,sp60,sp61,trophic_coherence_2000,trophic_coherence_tilda_2000,trophic_coherence_ratio_2000,trophic_coherence_2001,trophic_coherence_tilda_2001,trophic_coherence_ratio_2001,trophic_coherence_2002,trophic_coherence_tilda_2002,trophic_coherence_ratio_2002,trophic_coherence_2003,trophic_coherence_tilda_2003,trophic_coherence_ratio_2003,trophic_coherence_2004,trophic_coherence_tilda_2004,trophic_coherence_ratio_2004,trophic_coherence_2005,trophic_coherence_tilda_2005,trophic_coherence_ratio_2005,trophic_coherence_2006,trophic_coherence_tilda_2006,trophic_coherence_ratio_2006,trophic_coherence_2007,trophic_coherence_tilda_2007,trophic_coherence_ratio_2007,trophic_coherence_2008,trophic_coherence_tilda_2008,trophic_coherence_ratio_2008,trophic_coherence_2009,trophic_coherence_tilda_2009,trophic_coherence_ratio_2009,trophic_coherence_2010,trophic_coherence_tilda_2010,trophic_coherence_ratio_2010
0,AT,95136.874334518,91450.40612161,1.729612721552987,1.0868824103253627,1.5913522062016079,1.7662796475033802,1.1145105921347698,1.584802926027101,1.7654344162341276,1.1251440033175903,1.5690741905290186,1.776983413444762,1.1378670041642585,1.5616793587840454,1.8112085782675538,1.1544626993711107,1.5688757889312517,1.8675766193386658,1.1739192182161944,1.5908902336367785,1.9084615500262412,1.1991480421216223,1.5915145444841392,1.9472481807405801,1.204737707908727,1.6163254191825356,1.9723630812539195,1.2341132536064292,1.5982026572440695,1.9109296987419513,1.231957134851862,1.5511332697234899,1.9371149532360707,1.2319836529433885,1.5723544290608247
1,BE,111941.52991817,112525.074151867,1.7728573629389952,1.2832789155475548,1.3815058764388293,1.7793076844492592,1.2824019891866527,1.3874804464220791,1.7393783695462863,1.2538771404142852,1.3872000002899725,1.7367313279545133,1.2496150973220101,1.3898130165651956,1.7738622664470012,1.2678866680444574,1.3990700518863743,1.8205072862509808,1.2791920521297633,1.4231696352552898,1.8327888634888794,1.2988435564293659,1.4110928559613258,1.8536550021846478,1.290460871521502,1.4364286768331989,1.9043905687406213,1.2692759148054518,1.50037556572758,1.8313428081686227,1.245243296050909,1.4706706825697717,1.8838207319262374,1.2484782701711632,1.5088934881245233
2,CZ,21223.529776933,34654.84232027,1.8696291642838487,1.7498705709115911,1.068438543606039,1.8801281947025301,1.757499199555294,1.0697747089604737,1.861739720615408,1.7242092083512488,1.0797643995856343,1.9002513554143314,1.7251462091353107,1.1015016265588227,1.9226267678700608,1.7337047986612295,1.108970090729816,1.9225083179209552,1.7097321071578007,1.1244500292603536,1.9242852845490066,1.7447300811639594,1.1029128833872461,1.9673752995579108,1.7596842209928234,1.1180274711151907,1.9929003828485246,1.7202382362849182,1.1585025497122168,1.9614106597768337,1.6665649589782112,1.1769182168449022,1.9968290681397936,1.6830852678580064,1.1864099260289267
3,DE,967910.906129481,888289.123595167,1.56733246666557,1.196436467772929,1.3100005799581105,1.560211634317935,1.1981374854818592,1.3021974967175485,1.5056366430757562,1.1782701903333668,1.2778364889718274,1.5444253256131175,1.1857602788389425,1.3024768607743953,1.5782989593496284,1.1946126544839935,1.321180512717209,1.624902764880379,1.2215818766394864,1.3301627962510456,1.6568101330973164,1.2391111300648645,1.3370956751962888,1.6809659719005612,1.254688644674518,1.3397474975447992,1.7013690344327967,1.2478321651224844,1.3634598321688511,1.5791031023115267,1.1944689863037186,1.3220126436250619,1.6751126007072936,1.2350590434361401,1.3563016356261406
4,DK,78977.46650789,70276.9018831,1.6623936729840942,1.0893770514021421,1.52600394036612,1.6581769909164967,1.0974118328445648,1.5109888022788958,1.6654078921792452,1.096813543663554,1.5184056595585829,1.623088348784658,1.087996120622313,1.4918144633238972,1.649957586750123,1.0877256954405412,1.5168875697855713,1.7212069036008184,1.102825340529623,1.5607248404123744,1.7584137653026193,1.1126713668064219,1.5803532091866448,1.776742622818332,1.120505458320567,1.5856617293782262,1.790786351271947,1.1072657901737577,1.6173048667844492,1.6878861531316816,1.0783890731516008,1.5651921881949533,1.7536424832049418,1.0875802230020217,1.612425866263368
5,EE,2527.46819357,2983.70556147,1.7708559907970944,1.0079696719236133,1.7568544373141564,1.7895383030539758,1.0325701191302161,1.7330913125409737,1.6120800677128126,1.0430586438590923,1.545531574091044,1.7520651062390153,1.055965214946525,1.6592072176617496,1.788734535763115,1.0797320220816475,1.6566467412113612,1.8248322354806934,1.1035580464881716,1.6535897149115235,1.860392095800519,1.1085570585021756,1.6782105003365217,1.8790579038357405,1.1291427693070581,1.6641455402392529,1.887456424581121,1.1122335429693044,1.6969964954862102,1.7627021160513128,1.0618823637846755,1.6599787096650067,1.8427999304220206,1.092640162039959,1.68655701524051
6,ES,313550.295251246,257009.71854102,1.6434741640875539,1.2318086278371534,1.3341960162864057,1.6391748874995442,1.249110964833517,1.3122732356432523,1.5443450947987556,1.2789884726432643,1.2074738184364422,1.6249059522181606,1.2851237742953838,1.264396461040552,1.6524584530700428,1.2955680795508249,1.2754701811138727,1.6936676870313496,1.3154659710065393,1.2875039904950383,1.7133185621586016,1.3277095674450123,1.2904317361029782,1.724034106246403,1.311257990515628,1.3147939754925408,1.725067765089709,1.309226541620547,1.317623581748074,1.6850921042373095,1.3217005764512342,1.2749423994062117,1.706939023584943,1.277701021985042,1.3359455727232925
7,FI,54257.489849322,60808.512664458,1.7393748247681924,1.3580835222031065,1.2807568874310091,1.733121580147406,1.323217543093034,1.309778266766489,1.7097968458128365,1.3106666683694885,1.3045245500443516,1.7401163773104518,1.3180521863100327,1.3202181183599515,1.7582970890644054,1.3212786436699457,1.3307541883675722,1.8064870645186837,1.3153313582573718,1.3734083454925181,1.8373414927067333,1.358500945310296,1.352477154358597,1.8525571156672114,1.3626913277468042,1.3594840430447261,1.865616680745639,1.366360241970959,1.3653915149452154,1.8203196107556125,1.3316667757023015,1.366948281634197,1.8570312279183683,1.3320313412928781,1.3941347852340484
8,FR,773942.304403111,516800.729763416,1.4388268273496454,1.1534173931975613,1.2474467923193509,1.4295011454862472,1.1618740482513243,1.2303408856043514,1.4390644589226897,1.1485621021115366,1.2529269913025065,1.4026204662494826,1.1384142869590552,1.2320826278420818,1.4206494315673683,1.1432406183989345,1.2426512920411579,1.454881009687959,1.1469592765564665,1.2684678867204167,1.4669101897775398,1.1568735132889485,1.2679953105739006,1.4819075920398526,1.1598076995498952,1.2777183602203708,1.5016905494587092,1.1574112439645603,1.2974563339430376,1.4205747911425217,1.1460541102419903,1.2395355319153003,1.4618520880538695,1.1475041834398254,1.2739405303706488
9,GR,41559.173872927,80430.10210295,1.8447951029740448,1.2807207791326023,1.44043505269234,1.7973542248976373,1.296503154998744,1.3863091794014017,1.4425426249533033,1.271032589631144,1.134937559210761,1.725949040578758,1.2516762723466335,1.3789100893819466,1.753458173478271,1.2474379628914767,1.4056475958242234,1.798203884895925,1.27096170827865,1.4148371844588103,1.7875899701142162,1.2404951149792354,1.4410294313364858,1.8262252180552454,1.238634626063948,1.4743857305672976,1.8762506672449197,1.217212554191868,1.5414322344798692,1.8318772261726584,1.210818469779906,1.5129247462715398,1.8227123892146104,1.2174498555444788,1.4971560273416278
10,HU,18912.81183005,25041.95333788,1.883943118307514,1.3983561730297227,1.3472555523716845,1.8734686048853433,1.384415215410765,1.353256294809988,1.8302623638665867,1.338017999461566,1.3678906895147191,1.8530361743834707,1.323757008228307,1.3998310587707796,1.870645941252328,1.2975368608351352,1.4416900187701194,1.9056138621707082,1.3082515146179097,1.4566112409411314,1.9884466580170759,1.3027333441529656,1.5263650592362472,2.019390253947763,1.2770376560742984,1.5813083070357592,2.0692515778436786,1.292357959161424,1.6011442984313415,1.9398389035556864,1.325780015636996,1.4631680072682753,2.0134026438814954,1.3343210870239472,1.5089341414607806
11,IE,38341.90173398,55320.37731808,1.8102402447964585,1.2794830430559514,1.4148215989426733,1.7753344913959004,1.294905354088325,1.3710148666778972,1.724271522831719,1.2792873020034754,1.3478375968645662,1.7242818292306308,1.2985037322061208,1.3278990167406952,1.7725834891022565,1.2894981094080382,1.3746305451475112,1.7835323668270286,1.2898173787795604,1.3827789857465147,1.771679112708744,1.30203169620609,1.360703520406708,1.7682087476132675,1.334571619779234,1.3249260822028914,1.7931841626406149,1.2587704048138486,1.4245522104611263,1.7459147425545725,1.2362874731307436,1.412223920811283,1.7856827140207194,1.2382804394666962,1.4420664795365572
12,IT,418373.506218714,645662.815013358,1.7193393852695709,1.5493865435760872,1.1096904077282232,1.7281285844214198,1.5524129042791346,1.1131887525914885,1.5891431969918812,1.5484730339139252,1.0262646892695044,1.7142481230923023,1.5416507368883987,1.111956218145925,1.7341541526352677,1.5420373826270153,1.1245863246719494,1.7477705196204532,1.5287223908069048,1.1432883629695045,1.738770129102979,1.525148836277906,1.1400658661920573,1.7578423544601902,1.5337947884898933,1.146074016975168,1.7974348855307365,1.5305198135908853,1.1743950451145213,1.7261817591593887,1.4610186899244733,1.1814919077103818,1.7723356502224465,1.4671208324188565,1.2080365918466167
13,LT,4181.72697418,6808.339051,1.7931672725399757,1.167931584355342,1.535335884875262,1.8393906677764233,1.185751719677979,1.5512443602240413,1.8582369379297317,1.1771889601338807,1.5785375167962805,1.8764100806401371,1.146410417672841,1.6367699139102043,1.8677291861049745,1.15901484326805,1.6114799538188633,1.9305722752722028,1.1376353603197282,1.697004455566169,1.9380614420417936,1.1238625860785987,1.7244647753637854,1.9458393081716978,1.1595549030123886,1.6780915704091577,1.940778797982708,1.14804495229364,1.6905076705448614,1.8457505749505092,1.1300117931049714,1.6333905417737973,1.875459916903924,1.1291279092760163,1.6609809229730645
14,LU,9067.63368725,10555.66669147,1.8197559037781368,1.1767150346729192,1.5464711932434498,1.7979751879400079,1.1633737146577399,1.5454837644058044,2.2827728529488356,1.107291147839647,2.061583222626301,1.8597524007844848,1.0969844599267893,1.6953315828271636,1.8931045165604217,1.1444534317913364,1.654156004930032,1.849672049186093,1.227410293622015,1.5069712701592395,1.8031834087040766,1.3149817624046443,1.371261153771959,1.788518570568842,1.369670349866742,1.3058022105412814,1.8297745593934895,1.3182823706878655,1.3879989599183769,1.830358828355863,1.2492934836497271,1.4651151649399405,1.8308596318273995,1.2496061054662864,1.46514939693274
15,LV,3517.15683861,4084.05537497,1.7545983475322895,1.3097816571751495,1.3396113298123988,1.8158373586057428,1.3320688995141405,1.3631707483509692,1.8180441266564467,1.3319875942781239,1.3649107052245055,1.903434181564727,1.4761198247433263,1.289484870847598,1.9582479919958358,1.5199670621463723,1.288348965424658,1.965855159014091,1.4758023783641734,1.33205853834787,1.977975980601442,1.488779967997282,1.3285885242412485,1.9471789463484233,1.3714585184614707,1.4197869787070243,1.9367007753648602,1.3323506823225393,1.4535968653454092,1.9402384984205467,1.4198910869898098,1.3664699470252195,1.9399711264218797,1.4192020388256659,1.3669449968005472
16,MT,1603.8541497400001,2135.87907889,2.1017430262921453,1.037386823404161,2.025997418586178,1.8953487465533503,1.0640725833354558,1.781221296588777,1.8811390948319802,1.050855570370177,1.7901024154721143,1.8803173491641618,1.0865343014589497,1.7305641861829448,1.919072903420086,1.1623614231300763,1.6510122112038885,2.037967986480558,1.1914394381872773,1.7105090877143003,2.107711144458179,1.2394502333618862,1.7005209952974238,2.1330889341879873,1.2476669763294446,1.7096620930557902,2.142707269810968,1.228995639962445,1.7434620596997752,2.007735313346619,1.2682230600677402,1.5831089786676635,2.062573047017597,1.2942494990972968,1.5936440759344968
17,NL,183513.743248561,189901.263056004,1.6882721478909088,1.2111657674245695,1.393923270702128,1.6722860540000333,1.2102649493459037,1.3817520328121806,1.6457342536937714,1.1942572627340184,1.3780399793643998,1.655750018229386,1.1778640168100662,1.4057225576119965,1.669821304034663,1.1758945805823695,1.420043370901219,1.7038839747018144,1.1905591091987675,1.4311628557850509,1.7096236808869338,1.1950577132196116,1.430578341092019,1.71974090611281,1.2022736465350257,1.4304072214084824,1.7692903282990862,1.1978355283243283,1.47707284219076,1.7481805532225674,1.1905275087545855,1.4684083655079456,1.7851870189194703,1.167257966203975,1.5293851664384477
18,PL,68334.236325385,96906.284117211,1.792339195435081,1.4707928206431953,1.2186211207172397,1.769509035170275,1.4819652434681891,1.194028701394614,1.7398492443176652,1.4901985835346527,1.1675284512691306,1.802890086706097,1.5005862477091605,1.201457156800179,1.8441700454657775,1.5596982718740888,1.1823889778693384,1.866353771265916,1.5546981809550862,1.200460510038915,1.8963620445836844,1.572163103529988,1.2062120274453525,1.9375713868853022,1.6339628209242711,1.185811183750981,1.9450029249813563,1.5910685388502877,1.222450747713749,1.908750956218631,1.5593322213058096,1.2240822899306296,1.931064149152454,1.582142622770662,1.2205373405406128
