,index,Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61,Nuts0,Nuts1,trophic_depth_2000,trophic_depth_2001,trophic_depth_2002,trophic_depth_2003,trophic_depth_2004,trophic_depth_2005,trophic_depth_2006,trophic_depth_2007,trophic_depth_2008,trophic_depth_2009,trophic_depth_2010
AT11_ss1,0,R1,AT11,Burgenland,ss1,Agriculture,6.366611338,162.6067676,AT,AT1,5.524483709822416,5.651135325184611,5.0227009577219395,5.686945567984514,5.683670873269114,5.735002924741938,5.820728211456964,5.926487265702406,5.952203544319664,5.7386805840325215,5.704973748288408
AT11_ss2,1,R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,46.28031999,90.91090999,AT,AT1,4.56033815731022,4.968362192990609,4.797200151954561,5.468808878218919,5.532977242770448,5.750915509623686,6.026376366445971,6.188640634435547,6.504989791971672,6.851328268737355,6.917162098566491
AT11_ss3,2,R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,66.49108379,66.88296132,AT,AT1,4.777556796453579,4.922584639840839,3.609985516420773,4.904927527224275,4.945520134835559,4.97045351588627,5.0076098484487455,5.050029050497799,5.276370873026269,5.280182059535154,5.367175792093355
AT11_ss4,3,R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,20.55689221,16.0711095,AT,AT1,4.064684484629915,4.259531450244257,4.111751551163085,4.370392444001478,4.353251638570288,4.460033599623319,4.4964930940611225,4.513959143728002,4.5424670738807365,4.448867799783812,4.60993089192938
AT11_ss5,4,R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,49.61701012,70.84887086,AT,AT1,4.582479076261267,4.702704669496111,4.64209875296266,4.694502405599994,4.758220044327615,4.912559368191705,4.85253296589451,4.863701515859711,5.138337475586505,5.1808655464779605,5.241049476904227
AT11_ss6,5,R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,98.86721396,78.6201479,AT,AT1,4.664778345683814,4.840344738766682,5.270005810481223,4.853841186792685,4.9860826267299245,5.060437575599721,5.118335656731837,5.10552988106128,5.067665003970404,4.908204219454241,4.931847630503015
AT11_ss8,6,R1,AT11,Burgenland,ss8,Other_manufacturing,210.3577564,179.4297733,AT,AT1,4.454262143952917,4.552179128113465,4.7817684760438794,4.616872017006827,4.725039422409594,4.828060552363709,4.9221759233731674,4.971727642346018,5.109237684839741,5.0568144642363535,5.178947751392947
AT11_ss9,7,R1,AT11,Burgenland,ss9,Construction,185.6842561,172.7310286,AT,AT1,4.105577127179004,4.181766496795447,3.4414761758059598,4.249097638401352,4.387984246953081,4.456149243568646,4.583774710025949,4.7094998048590355,4.894488615137504,4.821024241585789,4.795553068427765
AT11_ss10,8,R1,AT11,Burgenland,ss10,Distribution,263.3760618,265.7433456,AT,AT1,3.7104994955119963,3.7776297193144472,4.083881431784874,3.7916143368385065,3.8319860205444627,3.9493868744516476,3.9469276831044056,3.965979896190902,4.0508790538368515,3.9932684137166206,3.9535251629851302
AT11_ss11,9,R1,AT11,Burgenland,ss11,Hotels_and_restaurant,77.26302366,85.6676412,AT,AT1,3.697803425460684,3.766992057023767,2.417974592748898,3.7058894105688758,3.7743322731698115,3.817507126913057,3.8517862752188243,3.8915152686123093,3.972418612213474,3.9645360548685034,4.054889210688078
