Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,7.791759603,171.8883324
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,44.55757627,114.1643004
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,61.85200627,77.32267458
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,20.03541853,18.14115434
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,48.3609059,70.67686868
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,96.97778849,98.7699307
R1,AT11,Burgenland,ss8,Other_manufacturing,208.0741031,212.5656857
R1,AT11,Burgenland,ss9,Construction,179.9534359,178.4379614
R1,AT11,Burgenland,ss10,Distribution,280.9656789,275.1948035
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,96.56647639,113.004945
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,128.3772559,177.1372304
R1,AT11,Burgenland,ss13,Financial_intermediation,108.2968182,127.5127143
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,144.0616403,544.6580026
R1,AT11,Burgenland,ss15,Non-Market_Service,777.5233669,249.1284621
R2,AT12,Niederosterreich,ss1,Agriculture,46.82609925,1023.653589
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,283.7439634,623.0090844
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,410.0371673,437.4135029
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,156.972404,121.0541061
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,451.7924233,563.8009055
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,497.6427031,432.2905308
R2,AT12,Niederosterreich,ss8,Other_manufacturing,1906.040564,1660.010096
R2,AT12,Niederosterreich,ss9,Construction,1167.024364,1116.241962
R2,AT12,Niederosterreich,ss10,Distribution,2703.298861,1815.698128
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,609.0310562,491.4728607
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1303.398559,1239.741311
R2,AT12,Niederosterreich,ss13,Financial_intermediation,638.5023269,860.9600837
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,854.9048641,3791.745828
R2,AT12,Niederosterreich,ss15,Non-Market_Service,3486.248106,1811.36634
R3,AT13,Wien,ss1,Agriculture,82.80644335,40.11850848
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,443.9150092,818.2838346
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,393.9670734,350.1367994
R3,AT13,Wien,ss4,Textiles_and_leather_etc,153.4453021,98.57614451
R3,AT13,Wien,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,111.3370233,115.8020045
R3,AT13,Wien,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1698.937114,1226.228808
R3,AT13,Wien,ss8,Other_manufacturing,2192.76589,1575.594432
R3,AT13,Wien,ss9,Construction,2072.110466,1130.462307
R3,AT13,Wien,ss10,Distribution,3418.496966,3861.376464
R3,AT13,Wien,ss11,Hotels_and_restaurant,909.8079651,1240.138759
R3,AT13,Wien,ss12,Transport_storage_and_communication,1594.097659,2578.357109
R3,AT13,Wien,ss13,Financial_intermediation,2154.706804,1632.538185
R3,AT13,Wien,ss14,Real_estate_renting_and_busine_activitie,3017.627836,8119.214714
R3,AT13,Wien,ss15,Non-Market_Service,9591.304596,3121.569691
R4,AT21,Karnten,ss1,Agriculture,18.78647107,301.2651643
R4,AT21,Karnten,ss2,Mining_quarrying_and_energy_supply,123.8244243,262.1775975
R4,AT21,Karnten,ss3,Food_beverages_and_tobacco,107.2963293,110.9573559
R4,AT21,Karnten,ss4,Textiles_and_leather_etc,41.30870999,30.91147245
R4,AT21,Karnten,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,136.4895698,164.9308061
R4,AT21,Karnten,ss6,Electrical_and_optical_equipment_and_Transport_equipment,270.9842891,228.6167514
R4,AT21,Karnten,ss8,Other_manufacturing,630.9254481,535.0002873
R4,AT21,Karnten,ss9,Construction,473.7974107,384.2710245
R4,AT21,Karnten,ss10,Distribution,725.3719098,646.8314111
R4,AT21,Karnten,ss11,Hotels_and_restaurant,280.4393097,298.33238
R4,AT21,Karnten,ss12,Transport_storage_and_communication,341.6136603,428.2154693
R4,AT21,Karnten,ss13,Financial_intermediation,311.691495,355.2434766
R4,AT21,Karnten,ss14,Real_estate_renting_and_busine_activitie,358.5776391,1299.986001
R4,AT21,Karnten,ss15,Non-Market_Service,1926.628715,549.2105725
R5,AT22,Steiermark,ss1,Agriculture,37.25501617,668.9537748
R5,AT22,Steiermark,ss2,Mining_quarrying_and_energy_supply,275.3296688,508.8885687
R5,AT22,Steiermark,ss3,Food_beverages_and_tobacco,239.2036881,215.2311796
R5,AT22,Steiermark,ss4,Textiles_and_leather_etc,66.8970364,43.52604621
R5,AT22,Steiermark,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,371.5911488,390.8504913
R5,AT22,Steiermark,ss6,Electrical_and_optical_equipment_and_Transport_equipment,653.6691382,480.2954597
R5,AT22,Steiermark,ss8,Other_manufacturing,1787.21867,1318.027794
R5,AT22,Steiermark,ss9,Construction,913.0646317,803.6602057
R5,AT22,Steiermark,ss10,Distribution,1723.154298,1296.013883
R5,AT22,Steiermark,ss11,Hotels_and_restaurant,523.5400309,470.7790831
R5,AT22,Steiermark,ss12,Transport_storage_and_communication,798.9907671,847.2475239
R5,AT22,Steiermark,ss13,Financial_intermediation,462.2028245,488.4072285
R5,AT22,Steiermark,ss14,Real_estate_renting_and_busine_activitie,912.7104263,3113.178484
R5,AT22,Steiermark,ss15,Non-Market_Service,3815.560217,1231.319082
R6,AT31,Oberosterreich,ss1,Agriculture,33.52526085,791.274665
R6,AT31,Oberosterreich,ss2,Mining_quarrying_and_energy_supply,277.5699373,551.5304144
R6,AT31,Oberosterreich,ss3,Food_beverages_and_tobacco,393.4300889,380.9183888
R6,AT31,Oberosterreich,ss4,Textiles_and_leather_etc,174.8499755,122.4393629
R6,AT31,Oberosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,538.7357043,609.5145247
R6,AT31,Oberosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,612.3297375,483.7677277
R6,AT31,Oberosterreich,ss8,Other_manufacturing,2388.585951,1897.83593
R6,AT31,Oberosterreich,ss9,Construction,1346.684031,1091.377001
R6,AT31,Oberosterreich,ss10,Distribution,2321.982774,1810.920816
R6,AT31,Oberosterreich,ss11,Hotels_and_restaurant,502.7910869,469.0490203
R6,AT31,Oberosterreich,ss12,Transport_storage_and_communication,1023.123627,1123.307382
R6,AT31,Oberosterreich,ss13,Financial_intermediation,777.979305,791.4172517
R6,AT31,Oberosterreich,ss14,Real_estate_renting_and_busine_activitie,1242.779472,4018.169668
R6,AT31,Oberosterreich,ss15,Non-Market_Service,5556.748971,1300.298544
R7,AT32,Salzburg,ss1,Agriculture,26.9658429,196.2669458
R7,AT32,Salzburg,ss2,Mining_quarrying_and_energy_supply,106.1266223,268.7191663
R7,AT32,Salzburg,ss3,Food_beverages_and_tobacco,146.2858595,179.9833359
R7,AT32,Salzburg,ss4,Textiles_and_leather_etc,28.8159068,25.64020766
R7,AT32,Salzburg,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,153.0336696,220.2522196
R7,AT32,Salzburg,ss6,Electrical_and_optical_equipment_and_Transport_equipment,209.6732463,209.952966
R7,AT32,Salzburg,ss8,Other_manufacturing,736.1505349,739.6594472
R7,AT32,Salzburg,ss9,Construction,523.2709883,457.5953035
R7,AT32,Salzburg,ss10,Distribution,995.3731137,972.7909716
R7,AT32,Salzburg,ss11,Hotels_and_restaurant,411.819561,482.345762
R7,AT32,Salzburg,ss12,Transport_storage_and_communication,466.782897,645.7393101
R7,AT32,Salzburg,ss13,Financial_intermediation,346.2952647,415.8615363
R7,AT32,Salzburg,ss14,Real_estate_renting_and_busine_activitie,467.9415932,1854.341426
R7,AT32,Salzburg,ss15,Non-Market_Service,2061.035687,722.1494597
R8,AT33,Tirol,ss1,Agriculture,38.49042796,271.0195913
R8,AT33,Tirol,ss2,Mining_quarrying_and_energy_supply,162.6027831,369.5694798
R8,AT33,Tirol,ss3,Food_beverages_and_tobacco,157.5150685,173.4255188
R8,AT33,Tirol,ss4,Textiles_and_leather_etc,86.59571856,68.9142314
R8,AT33,Tirol,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,207.3697939,267.2546184
R8,AT33,Tirol,ss6,Electrical_and_optical_equipment_and_Transport_equipment,220.2208828,197.2506559
R8,AT33,Tirol,ss8,Other_manufacturing,997.3869361,895.1985446
R8,AT33,Tirol,ss9,Construction,673.9390843,610.8286221
R8,AT33,Tirol,ss10,Distribution,994.83108,1163.722702
R8,AT33,Tirol,ss11,Hotels_and_restaurant,525.1168664,736.5993666
R8,AT33,Tirol,ss12,Transport_storage_and_communication,532.0367088,883.3187648
R8,AT33,Tirol,ss13,Financial_intermediation,387.0152985,556.6500281
R8,AT33,Tirol,ss14,Real_estate_renting_and_busine_activitie,463.2218233,2252.918801
R8,AT33,Tirol,ss15,Non-Market_Service,2316.941088,986.2794282
R9,AT34,Vorarlberg,ss1,Agriculture,11.42519423,89.92879179
R9,AT34,Vorarlberg,ss2,Mining_quarrying_and_energy_supply,89.46225673,192.2071971
R9,AT34,Vorarlberg,ss3,Food_beverages_and_tobacco,143.3971241,150.3128055
R9,AT34,Vorarlberg,ss4,Textiles_and_leather_etc,102.9819371,78.17980622
R9,AT34,Vorarlberg,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,149.2602013,182.7780535
R9,AT34,Vorarlberg,ss6,Electrical_and_optical_equipment_and_Transport_equipment,229.2081763,195.9696901
R9,AT34,Vorarlberg,ss8,Other_manufacturing,579.2381876,497.8694033
R9,AT34,Vorarlberg,ss9,Construction,324.2646021,322.091377
R9,AT34,Vorarlberg,ss10,Distribution,538.5771932,558.2244433
R9,AT34,Vorarlberg,ss11,Hotels_and_restaurant,228.1073371,282.7348469
R9,AT34,Vorarlberg,ss12,Transport_storage_and_communication,252.0149614,368.1381597
R9,AT34,Vorarlberg,ss13,Financial_intermediation,161.604831,262.0690861
R9,AT34,Vorarlberg,ss14,Real_estate_renting_and_busine_activitie,228.6502095,1176.508122
R9,AT34,Vorarlberg,ss15,Non-Market_Service,1290.43345,422.3130968
R10,BE10,Region_de_BruxellesCapitale,ss1,Agriculture,8.530231137,9.077723099
R10,BE10,Region_de_BruxellesCapitale,ss2,Mining_quarrying_and_energy_supply,393.2080697,1123.865543
R10,BE10,Region_de_BruxellesCapitale,ss3,Food_beverages_and_tobacco,270.3214854,344.1951456
R10,BE10,Region_de_BruxellesCapitale,ss4,Textiles_and_leather_etc,97.29589747,104.5037144
R10,BE10,Region_de_BruxellesCapitale,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,176.8892534,217.4764226
R10,BE10,Region_de_BruxellesCapitale,ss6,Electrical_and_optical_equipment_and_Transport_equipment,536.0793821,319.737394
R10,BE10,Region_de_BruxellesCapitale,ss8,Other_manufacturing,1090.647457,948.5780705
R10,BE10,Region_de_BruxellesCapitale,ss9,Construction,830.8520978,434.2070201
R10,BE10,Region_de_BruxellesCapitale,ss10,Distribution,2997.657283,2734.063031
R10,BE10,Region_de_BruxellesCapitale,ss11,Hotels_and_restaurant,531.0291353,571.9910243
R10,BE10,Region_de_BruxellesCapitale,ss12,Transport_storage_and_communication,1908.882548,2024.258093
R10,BE10,Region_de_BruxellesCapitale,ss13,Financial_intermediation,3068.673562,1728.108292
R10,BE10,Region_de_BruxellesCapitale,ss14,Real_estate_renting_and_busine_activitie,4398.402515,7428.048132
R10,BE10,Region_de_BruxellesCapitale,ss15,Non-Market_Service,9815.571807,2501.38441
R11,BE21,Prov_Antwerpen,ss1,Agriculture,82.50729181,432.2613003
R11,BE21,Prov_Antwerpen,ss2,Mining_quarrying_and_energy_supply,354.6591978,805.3661129
R11,BE21,Prov_Antwerpen,ss3,Food_beverages_and_tobacco,611.9345249,621.8198475
R11,BE21,Prov_Antwerpen,ss4,Textiles_and_leather_etc,514.1025373,440.9999849
R11,BE21,Prov_Antwerpen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,903.906443,885.0104926
R11,BE21,Prov_Antwerpen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1498.671328,716.516695
R11,BE21,Prov_Antwerpen,ss8,Other_manufacturing,2088.873906,1455.782271
R11,BE21,Prov_Antwerpen,ss9,Construction,1326.972461,1009.728842
R11,BE21,Prov_Antwerpen,ss10,Distribution,2637.757924,2805.615198
R11,BE21,Prov_Antwerpen,ss11,Hotels_and_restaurant,309.2504283,388.2372156
R11,BE21,Prov_Antwerpen,ss12,Transport_storage_and_communication,1687.769396,2081.890803
R11,BE21,Prov_Antwerpen,ss13,Financial_intermediation,1359.820875,1267.092159
R11,BE21,Prov_Antwerpen,ss14,Real_estate_renting_and_busine_activitie,2644.037398,7078.872661
R11,BE21,Prov_Antwerpen,ss15,Non-Market_Service,6390.628191,2372.535902
R12,BE22,Prov_Limburg_B,ss1,Agriculture,34.58574961,215.2695944
R12,BE22,Prov_Limburg_B,ss2,Mining_quarrying_and_energy_supply,92.32550638,204.0935239
R12,BE22,Prov_Limburg_B,ss3,Food_beverages_and_tobacco,173.5546309,171.5961752
