,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,key,tl_diff
0,R1,AT11,Burgenland,2000,AT,AT1,7.6747663636496934,1.8789756912014655,2.067479336395444,3.0293308438891113,4.209614201339109,5.524483709822416,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT112000,2.4951528659333047
1,R2,AT12,Niederosterreich,2000,AT,AT1,9.653733559011252,1.8943659108275148,1.8427954626725547,3.0878103975070488,4.346249446963742,5.562433654128871,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT122000,2.474623256621822
2,R3,AT13,Wien,2000,AT,AT1,10.013553036162163,1.8068240007890402,1.9797829214193934,3.0637991116038528,4.0839613490024975,4.760003934594666,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT132000,1.696204822990813
3,R4,AT21,Karnten,2000,AT,AT2,8.547573777091552,1.8694454310882738,2.0330233440686887,3.0566098646769726,4.235753831063909,5.33315631024505,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT212000,2.2765464455680773
4,R5,AT22,Steiermark,2000,AT,AT2,9.337527970200895,1.8965067428049591,2.0139277976491257,3.07970520474611,4.24650085771007,5.434128602789894,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT222000,2.354423398043784
5,R6,AT31,Oberosterreich,2000,AT,AT3,9.587810931929669,1.8661129439569448,1.9366090245312897,3.100704088588055,4.262530641614125,5.504818243525153,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT312000,2.404114154937098
6,R7,AT32,Salzburg,2000,AT,AT3,8.868955516642464,1.870276390870776,1.8692494329647797,3.0322786169403413,4.338588119904171,5.152012882038311,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT322000,2.1197342650979696
7,R8,AT33,Tirol,2000,AT,AT3,9.097380643282397,1.880935004388201,1.8258455007549073,3.0192666875205147,4.3453239310759475,5.054139832509785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT332000,2.03487314498927
8,R9,AT34,Vorarlberg,2000,AT,AT3,8.355628051920837,1.8406319590487212,1.8280140187164517,3.009245002128731,4.2114809246364,5.178381395333874,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,AT342000,2.169136393205143
9,R10,BE10,Region_de_BruxellesCapitale,2000,BE,BE1,9.866632689844694,1.8251202230401535,1.8079624008109694,3.0743318724934383,4.516166869682023,5.4123269378173635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE102000,2.337995065323925
