DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2000,276226,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2001,275956,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2002,276673,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2003,276542,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2004,276793,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2005,278033,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2006,279128,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2007,280062,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2008,280977,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2009,282777,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT11,2010,283697,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2000,1535083,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2001,1539416,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2002,1544667,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2003,1549269,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2004,1557291,
ESTAT:DEMO_R_D2JAN(1.0),03/07/23 23:00:00,A,NR,T,TOTAL,AT12,2005,1568949,
