,causes,caused,weight
0,AT11,AT11,0
1,AT11,AT12,0
2,AT11,AT13,0
3,AT11,AT21,0
4,AT11,AT22,0
5,AT11,AT31,0
6,AT11,AT32,0
7,AT11,AT33,0
8,AT11,AT34,0
9,AT11,BE10,0
10,AT11,BE21,0
11,AT11,BE22,0
12,AT11,BE23,0
13,AT11,BE24,0
14,AT11,BE25,0
15,AT11,BE31,0
16,AT11,BE32,0
17,AT11,BE33,0
18,AT11,BE34,0
19,AT11,BE35,0
20,AT11,CZ01,0
21,AT11,CZ02,0
22,AT11,CZ03,0
23,AT11,CZ04,1
24,AT11,CZ05,0
25,AT11,CZ06,0
26,AT11,CZ07,0
27,AT11,CZ08,0
28,AT11,DE11,0
29,AT11,DE12,0
30,AT11,DE13,0
31,AT11,DE14,0
32,AT11,DE21,0
33,AT11,DE22,0
34,AT11,DE23,0
35,AT11,DE24,0
36,AT11,DE25,0
37,AT11,DE26,0
38,AT11,DE27,0
39,AT11,DE30,0
40,AT11,DE41,0
41,AT11,DE42,0
42,AT11,DE50,0
43,AT11,DE60,0
44,AT11,DE71,0
45,AT11,DE72,0
46,AT11,DE73,0
47,AT11,DE80,0
48,AT11,DE91,0
49,AT11,DE92,0
50,AT11,DE93,0
51,AT11,DE94,0
52,AT11,DEA1,0
53,AT11,DEA2,0
54,AT11,DEA3,0
55,AT11,DEA4,0
56,AT11,DEA5,0
57,AT11,DEB1,0
58,AT11,DEB2,0
59,AT11,DEB3,0
60,AT11,DEC0,0
61,AT11,DED1,0
62,AT11,DED2,0
63,AT11,DED3,0
64,AT11,DEE1,0
65,AT11,DEE2,0
66,AT11,DEE3,0
67,AT11,DEF0,0
68,AT11,DEG0,0
69,AT11,DK01,0
70,AT11,DK02,0
71,AT11,DK03,0
72,AT11,EE00,0
73,AT11,ES11,0
74,AT11,ES12,0
75,AT11,ES13,0
76,AT11,ES21,0
77,AT11,ES22,0
78,AT11,ES23,0
79,AT11,ES24,0
80,AT11,ES30,0
81,AT11,ES41,1
82,AT11,ES42,0
83,AT11,ES43,0
84,AT11,ES51,0
85,AT11,ES52,0
86,AT11,ES53,0
87,AT11,ES61,0
88,AT11,ES62,0
89,AT11,ES63,0
90,AT11,ES64,0
91,AT11,ES70,0
92,AT11,FI13,1
93,AT11,FI18,0
94,AT11,FI19,0
95,AT11,FI1A,0
96,AT11,FI20,1
97,AT11,FR10,0
98,AT11,FR21,0
99,AT11,FR22,0
100,AT11,FR23,0
101,AT11,FR24,0
102,AT11,FR25,0
103,AT11,FR26,0
104,AT11,FR30,0
105,AT11,FR41,0
106,AT11,FR42,1
107,AT11,FR43,0
108,AT11,FR51,0
109,AT11,FR52,0
110,AT11,FR53,1
111,AT11,FR61,0
112,AT11,FR62,0
113,AT11,FR63,0
114,AT11,FR71,0
115,AT11,FR72,0
116,AT11,FR81,0
117,AT11,FR82,0
118,AT11,FR83,0
119,AT11,GR11,0
120,AT11,GR12,0
121,AT11,GR13,0
122,AT11,GR14,0
123,AT11,GR21,0
124,AT11,GR22,0
125,AT11,GR23,0
126,AT11,GR24,0
127,AT11,GR25,0
128,AT11,GR30,0
129,AT11,GR41,0
130,AT11,GR42,0
131,AT11,GR43,0
132,AT11,HU10,0
133,AT11,HU21,0
134,AT11,HU22,0
135,AT11,HU23,0
136,AT11,HU31,0
137,AT11,HU32,0
138,AT11,HU33,0
139,AT11,IE01,0
140,AT11,IE02,0
141,AT11,ITC1,0
142,AT11,ITC2,1
143,AT11,ITC3,0
144,AT11,ITC4,0
145,AT11,ITD1,1
146,AT11,ITD2,0
147,AT11,ITD3,0
148,AT11,ITD4,0
149,AT11,ITD5,0
150,AT11,ITE1,0
151,AT11,ITE2,0
152,AT11,ITE3,0
153,AT11,ITE4,0
154,AT11,ITF1,0
155,AT11,ITF2,0
156,AT11,ITF3,0
157,AT11,ITF4,0
158,AT11,ITF5,0
159,AT11,ITF6,0
160,AT11,ITG1,0
161,AT11,ITG2,0
162,AT11,LT00,0
163,AT11,LU00,0
164,AT11,LV00,1
165,AT11,MT00,0
166,AT11,NL11,0
167,AT11,NL12,0
168,AT11,NL13,0
169,AT11,NL21,0
170,AT11,NL22,0
171,AT11,NL23,0
172,AT11,NL31,0
173,AT11,NL32,0
174,AT11,NL33,0
175,AT11,NL34,0
176,AT11,NL41,0
177,AT11,NL42,0
178,AT11,PL11,0
179,AT11,PL12,0
180,AT11,PL21,0
181,AT11,PL22,0
182,AT11,PL31,0
183,AT11,PL32,0
184,AT11,PL33,0
185,AT11,PL34,0
186,AT11,PL41,0
187,AT11,PL42,0
188,AT11,PL43,1
189,AT11,PL51,0
190,AT11,PL52,0
191,AT11,PL61,0
192,AT11,PL62,1
193,AT11,PL63,0
194,AT11,PT11,0
195,AT11,PT15,0
196,AT11,PT16,0
197,AT11,PT17,0
198,AT11,PT18,0
199,AT11,SE11,0
200,AT11,SE12,0
201,AT11,SE21,0
202,AT11,SE22,0
203,AT11,SE23,0
204,AT11,SE31,0
205,AT11,SE32,0
206,AT11,SE33,0
207,AT11,SI00,0
208,AT11,SK01,0
209,AT11,SK02,0
210,AT11,SK03,0
211,AT11,SK04,0
212,AT11,UKC1,0
213,AT11,UKC2,0
214,AT11,UKD1,0
215,AT11,UKD2,0
216,AT11,UKD3,0
217,AT11,UKD4,0
218,AT11,UKD5,0
219,AT11,UKE1,0
220,AT11,UKE2,0
221,AT11,UKE3,0
222,AT11,UKE4,0
223,AT11,UKF1,0
224,AT11,UKF2,0
225,AT11,UKF3,0
226,AT11,UKG1,0
227,AT11,UKG2,0
228,AT11,UKG3,0
229,AT11,UKH1,0
230,AT11,UKH2,0
231,AT11,UKH3,0
232,AT11,UKI1,0
233,AT11,UKI2,0
234,AT11,UKJ1,0
235,AT11,UKJ2,1
236,AT11,UKJ3,0
237,AT11,UKJ4,0
238,AT11,UKK1,0
239,AT11,UKK2,0
240,AT11,UKK3,0
241,AT11,UKK4,0
242,AT11,UKL1,0
243,AT11,UKL2,0
244,AT11,UKM2,0
245,AT11,UKM3,0
246,AT11,UKM5,0
247,AT11,UKM6,0
248,AT11,UKN0,0
249,AT12,AT11,0
250,AT12,AT12,0
251,AT12,AT13,0
252,AT12,AT21,0
