DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2000,4.9,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2001,5.0,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2002,4.9,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2003,5.8,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2004,5.5,bu
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2005,5.8,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2006,5.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2007,4.1,bu
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2008,4.2,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2009,5.0,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2010,4.0,u
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2000,4.1,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2001,3.2,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2002,4.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2003,4.0,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2004,4.6,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2005,4.7,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2006,4.5,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2007,4.0,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2008,3.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2009,4.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2010,3.9,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2000,7.5,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2001,6.0,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2002,7.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2003,8.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2004,10.6,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2005,9.9,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2006,9.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2007,9.2,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2008,7.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2009,8.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2010,8.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2000,4.6,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2001,4.6,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2002,4.4,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2003,4.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2004,6.3,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2005,5.3,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2006,4.7,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2007,4.2,b
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2008,3.6,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2009,4.6,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT21,2010,4.3,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT22,2000,4.5,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT22,2001,4.5,
ESTAT:LFST_R_LFU3RT(1.0),27/04/23 11:00:00,A,TOTAL,T,Y_GE15,PC,AT22,2002,5.5,
